姓名,性别,出生年月,籍贯,学历|学位,领导级别,链接,信息来源
﻿郭金龙,男,1947年07月,江苏南京,学士,北京市委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4990.htm,人民网
﻿李伟,男,1958年01月,江苏张家港,硕士,北京市人大常委会主任,http://ldzl.people.com.cn/dfzlk/front/personPage5296.htm,人民网
﻿蔡奇,男,1955年12月,福建尤溪,博士,北京市委副书记、市长,http://ldzl.people.com.cn/dfzlk/front/personPage16206.htm,人民网
﻿吉林,男,1962年04月,上海,硕士,北京市政协主席,http://ldzl.people.com.cn/dfzlk/front/personPage4991.htm,人民网
﻿张硕辅,男,1965年08月,湖南长沙,博士,北京市委常委、市纪委书记,http://ldzl.people.com.cn/dfzlk/front/personPage6347.htm,人民网
﻿张延昆,男,1963年01月,河南方城,硕士,北京市委常委、政法委书记,http://ldzl.people.com.cn/dfzlk/front/personPage5384.htm,人民网
﻿林克庆,男,1966年10月,湖北仙桃,博士,北京市委常委,http://ldzl.people.com.cn/dfzlk/front/personPage5379.htm,人民网
﻿阴和俊,男,1963年01月,山西古交,博士,北京市委常委,http://ldzl.people.com.cn/dfzlk/front/personPage16605.htm,人民网
﻿程红,女,1966年02月,山西武乡,博士,北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage5370.htm,人民网
﻿张建东,男,1962年07月,河北乐亭,博士,北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage8298.htm,人民网
﻿王小洪,男,1957年07月,福建福州,本科,公安部副部长，北京市副市长、市公安局局长,http://ldzl.people.com.cn/dfzlk/front/personPage11011.htm,人民网
﻿隋振江,男,1963年08月,辽宁大洼,硕士,北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4023.htm,人民网
﻿王宁,男,1960年12月,山西清徐,硕士,北京市副市长,http://ldzl.people.com.cn/dfzlk/front/personPage4019.htm,人民网
﻿张家明,男,1963年12月,安徽肥东,硕士,北京市东城区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4018.htm,人民网
﻿李先忠,男,1971年06月,山东龙口,博士,北京市东城区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4048.htm,人民网
﻿卢映川,男,1968年05月,安徽阜南,博士,北京市西城区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4036.htm,人民网
﻿王少峰,男,1970年11月,山东日照,硕士,北京市西城区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4020.htm,人民网
﻿吴桂英,女,1966年02月,河北唐山,博士,北京市朝阳区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4022.htm,人民网
﻿王灏,男,1967年06月,辽宁海城,博士,北京市朝阳区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15367.htm,人民网
﻿崔述强,男,1963年05月,北京,博士,北京市海淀区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage14784.htm,人民网
﻿于军,男,1964年06月,山东平度,博士,北京市海淀区区长,http://ldzl.people.com.cn/dfzlk/front/personPage12760.htm,人民网
﻿汪先永,男,1967年07月,安徽太湖,博士,北京市丰台区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4993.htm,人民网
﻿冀岩,男,1962年10月,北京,学士,北京市丰台区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4026.htm,人民网
﻿牛青山,男,1960年12月,河北定州,研究生,北京市石景山区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4027.htm,人民网
﻿夏林茂,男,1970年05月,江苏建湖,博士,北京市石景山区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4028.htm,人民网
﻿张贵林,男,1963年04月,广西兴安,博士,北京市门头沟区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage7012.htm,人民网
﻿付兆庚,男,1964年08月,北京,,北京市门头沟区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15594.htm,人民网
﻿曾赞荣,男,1969年08月,湖南邵东,硕士,北京市房山区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage11006.htm,人民网
﻿陈清,男,1966年01月,吉林吉林,,北京市房山区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15592.htm,人民网
﻿杨斌,男,1961年12月,山东昌邑,博士,北京市通州区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage11002.htm,人民网
﻿张力兵,男,1963年08月,北京,学士,北京市通州区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16166.htm,人民网
﻿王刚,男,1968年07月,辽宁锦西,博士,北京市顺义区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4035.htm,人民网
﻿高朋,男,1972年07月,辽宁凤城,博士,北京市顺义区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15395.htm,人民网
﻿侯君舒,男,1963年06月,河南宁陵,硕士,北京市昌平区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4037.htm,人民网
﻿张燕友,男,1963年07月,北京,博士,北京市昌平区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4038.htm,人民网
﻿谈绪祥,男,1966年05月,安徽芜湖,本科,北京市大兴区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4040.htm,人民网
﻿崔志成,男,1970年04月,山东招远,硕士,北京市大兴区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15585.htm,人民网
﻿齐静,女,1963年08月,安徽无为,学士,北京市怀柔区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4041.htm,人民网
﻿常卫,男,1966年09月,河南偃师,博士,北京市怀柔区区长,http://ldzl.people.com.cn/dfzlk/front/personPage4042.htm,人民网
﻿王成国,男,1966年02月,山东莱芜,博士,北京市平谷区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage15105.htm,人民网
﻿汪明浩,男,1967年10月,辽宁辽阳,硕士,北京市平谷区区长,http://ldzl.people.com.cn/dfzlk/front/personPage16024.htm,人民网
﻿潘临珠,男,1962年09月,山西临汾,博士,北京市密云区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15282.htm,人民网
﻿李志军,男,1969年10月,河南林州,博士,北京市延庆区委书记,http://ldzl.people.com.cn/dfzlk/front/personPage4047.htm,人民网
﻿穆鹏,男,1966年05月,陕西礼泉,硕士,北京市延庆区区长,http://ldzl.people.com.cn/dfzlk/front/personPage15410.htm,人民网
